case_id,agent,tool_used,concept:timestamp,concept:name
26,Charlie,,2025-11-03 00:25:08,Assign to Agent
27,Diana,ElevenLabs TTS,2025-11-03 00:28:08,Use Tool: ElevenLabs TTS
29,Diana,,2025-11-03 00:29:08,Receive Request
29,Diana,Knowledge Base,2025-11-03 00:30:08,Use Tool: Knowledge Base
25,Charlie,,2025-11-03 00:32:08,Resolve Issue
29,Diana,,2025-11-03 00:33:08,Resolve Issue
26,Charlie,Translator,2025-11-03 00:34:08,Use Tool: Translator
27,Diana,,2025-11-03 00:34:08,Assign to Agent
30,Bob,,2025-11-03 00:34:08,Receive Request
28,Alice,,2025-11-03 00:36:08,Assign to Agent
31,Alice,,2025-11-03 00:39:08,Receive Request
27,Diana,Translator,2025-11-03 00:42:08,Use Tool: Translator
31,Alice,ElevenLabs TTS,2025-11-03 00:42:08,Use Tool: ElevenLabs TTS
26,Charlie,,2025-11-03 00:43:08,Resolve Issue
32,Charlie,,2025-11-03 00:44:08,Receive Request
27,Diana,,2025-11-03 00:47:08,Resolve Issue
30,Bob,,2025-11-03 00:48:08,Assign to Agent
31,Alice,,2025-11-03 00:48:08,Assign to Agent
28,Alice,CRM,2025-11-03 00:49:08,Use Tool: CRM
32,Charlie,,2025-11-03 00:49:08,Assign to Agent
33,Diana,,2025-11-03 00:49:08,Receive Request
31,Alice,Translator,2025-11-03 00:51:08,Use Tool: Translator
34,Charlie,,2025-11-03 00:54:08,Receive Request
32,Charlie,CRM,2025-11-03 00:56:08,Use Tool: CRM
33,Diana,,2025-11-03 00:57:08,Assign to Agent
28,Alice,Analyzer,2025-11-03 00:58:08,Use Tool: Analyzer
35,Diana,,2025-11-03 00:59:08,Receive Request
31,Alice,,2025-11-03 01:01:08,Resolve Issue
30,Bob,CRM,2025-11-03 01:02:08,Use Tool: CRM
28,Alice,,2025-11-03 01:04:08,Resolve Issue
36,Diana,,2025-11-03 01:04:08,Receive Request
35,Diana,,2025-11-03 01:06:08,Assign to Agent
30,Bob,Analyzer,2025-11-03 01:07:08,Use Tool: Analyzer
34,Charlie,,2025-11-03 01:08:08,Assign to Agent
37,Alice,,2025-11-03 01:09:08,Receive Request
32,Charlie,Analyzer,2025-11-03 01:11:08,Use Tool: Analyzer
33,Diana,CRM,2025-11-03 01:11:08,Use Tool: CRM
37,Alice,Knowledge Base,2025-11-03 01:11:08,Use Tool: Knowledge Base
30,Bob,,2025-11-03 01:12:08,Resolve Issue
37,Alice,,2025-11-03 01:13:08,Resolve Issue
34,Charlie,CRM,2025-11-03 01:14:08,Use Tool: CRM
38,Charlie,,2025-11-03 01:14:08,Receive Request
33,Diana,Analyzer,2025-11-03 01:16:08,Use Tool: Analyzer
36,Diana,,2025-11-03 01:19:08,Assign to Agent
38,Charlie,ElevenLabs TTS,2025-11-03 01:19:08,Use Tool: ElevenLabs TTS
39,Diana,,2025-11-03 01:19:08,Receive Request
32,Charlie,,2025-11-03 01:21:08,Resolve Issue
35,Diana,CRM,2025-11-03 01:21:08,Use Tool: CRM
40,Bob,,2025-11-03 01:24:08,Receive Request
33,Diana,,2025-11-03 01:26:08,Resolve Issue
39,Diana,,2025-11-03 01:26:08,Assign to Agent
34,Charlie,Analyzer,2025-11-03 01:28:08,Use Tool: Analyzer
38,Charlie,,2025-11-03 01:28:08,Assign to Agent
41,Charlie,,2025-11-03 01:29:08,Receive Request
39,Diana,CRM,2025-11-03 01:31:08,Use Tool: CRM
35,Diana,Analyzer,2025-11-03 01:32:08,Use Tool: Analyzer
38,Charlie,Translator,2025-11-03 01:33:08,Use Tool: Translator
34,Charlie,,2025-11-03 01:34:08,Resolve Issue
36,Diana,CRM,2025-11-03 01:34:08,Use Tool: CRM
40,Bob,,2025-11-03 01:34:08,Assign to Agent
42,Bob,,2025-11-03 01:34:08,Receive Request
39,Diana,Analyzer,2025-11-03 01:36:08,Use Tool: Analyzer
41,Charlie,ElevenLabs TTS,2025-11-03 01:37:08,Use Tool: ElevenLabs TTS
35,Diana,,2025-11-03 01:38:08,Resolve Issue
43,Alice,,2025-11-03 01:39:08,Receive Request
38,Charlie,,2025-11-03 01:40:08,Resolve Issue
36,Diana,Analyzer,2025-11-03 01:42:08,Use Tool: Analyzer
40,Bob,CRM,2025-11-03 01:43:08,Use Tool: CRM
42,Bob,,2025-11-03 01:44:08,Assign to Agent
44,Bob,,2025-11-03 01:44:08,Receive Request
41,Charlie,,2025-11-03 01:45:08,Assign to Agent
39,Diana,,2025-11-03 01:46:08,Resolve Issue
36,Diana,,2025-11-03 01:48:08,Resolve Issue
41,Charlie,Translator,2025-11-03 01:48:08,Use Tool: Translator
43,Alice,,2025-11-03 01:48:08,Assign to Agent
44,Bob,Knowledge Base,2025-11-03 01:48:08,Use Tool: Knowledge Base
45,Diana,,2025-11-03 01:49:08,Receive Request
44,Bob,,2025-11-03 01:51:08,Resolve Issue
45,Diana,ElevenLabs TTS,2025-11-03 01:52:08,Use Tool: ElevenLabs TTS
41,Charlie,,2025-11-03 01:53:08,Resolve Issue
46,Bob,,2025-11-03 01:54:08,Receive Request
45,Diana,,2025-11-03 01:55:08,Assign to Agent
40,Bob,Analyzer,2025-11-03 01:58:08,Use Tool: Analyzer
42,Bob,CRM,2025-11-03 01:58:08,Use Tool: CRM
43,Alice,CRM,2025-11-03 01:59:08,Use Tool: CRM
47,Diana,,2025-11-03 01:59:08,Receive Request
45,Diana,Translator,2025-11-03 02:02:08,Use Tool: Translator
46,Bob,,2025-11-03 02:04:08,Assign to Agent
48,Diana,,2025-11-03 02:04:08,Receive Request
40,Bob,,2025-11-03 02:05:08,Resolve Issue
47,Diana,ElevenLabs TTS,2025-11-03 02:05:08,Use Tool: ElevenLabs TTS
47,Diana,,2025-11-03 02:08:08,Assign to Agent
46,Bob,CRM,2025-11-03 02:09:08,Use Tool: CRM
48,Diana,Knowledge Base,2025-11-03 02:09:08,Use Tool: Knowledge Base
49,Bob,,2025-11-03 02:09:08,Receive Request
42,Bob,Analyzer,2025-11-03 02:10:08,Use Tool: Analyzer
47,Diana,Translator,2025-11-03 02:11:08,Use Tool: Translator
48,Diana,,2025-11-03 02:11:08,Resolve Issue
45,Diana,,2025-11-03 02:12:08,Resolve Issue
43,Alice,Analyzer,2025-11-03 02:13:08,Use Tool: Analyzer
47,Diana,,2025-11-03 02:14:08,Resolve Issue
50,Alice,,2025-11-03 02:14:08,Receive Request
49,Bob,ElevenLabs TTS,2025-11-03 02:15:08,Use Tool: ElevenLabs TTS
43,Alice,,2025-11-03 02:19:08,Resolve Issue
46,Bob,Analyzer,2025-11-03 02:20:08,Use Tool: Analyzer
50,Alice,ElevenLabs TTS,2025-11-03 02:20:08,Use Tool: ElevenLabs TTS
49,Bob,,2025-11-03 02:22:08,Assign to Agent
50,Alice,,2025-11-03 02:24:08,Assign to Agent
42,Bob,,2025-11-03 02:25:08,Resolve Issue
49,Bob,Translator,2025-11-03 02:25:08,Use Tool: Translator
46,Bob,,2025-11-03 02:26:08,Resolve Issue
50,Alice,Translator,2025-11-03 02:29:08,Use Tool: Translator
49,Bob,,2025-11-03 02:34:08,Resolve Issue
50,Alice,,2025-11-03 02:34:08,Resolve Issue
